state_fips_code,end_code,domaincat_desc,watershed_code,short_desc,commodity_desc,load_time,state_alpha,agg_level_desc,county_ansi,prodn_practice_desc,statisticcat_desc,domain_desc,class_desc,source_desc,zip_5,county_code,CV (%),country_code,region_desc,asd_desc,country_name,group_desc,state_name,watershed_desc,reference_period_desc,Value,asd_code,sector_desc,begin_code,location_desc,county_name,state_ansi,year,unit_desc,util_practice_desc,week_ending,congr_district_code,freq_desc
99,00,NOT SPECIFIED,00000000,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",CATTLE,2014-10-29 15:18:36.000,US,NATIONAL,,ALL PRODUCTION PRACTICES,PRICE RECEIVED,TOTAL,(EXCL CALVES),SURVEY,,,,9000,,,UNITED STATES,LIVESTOCK,US TOTAL,,YEAR,92.2,,ANIMALS & PRODUCTS,00,US TOTAL,,,2010,$ / CWT,ALL UTILIZATION PRACTICES,,,ANNUAL
99,00,NOT SPECIFIED,00000000,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",CATTLE,2014-10-29 15:18:36.000,US,NATIONAL,,ALL PRODUCTION PRACTICES,PRICE RECEIVED,TOTAL,(EXCL CALVES),SURVEY,,,,9000,,,UNITED STATES,LIVESTOCK,US TOTAL,,YEAR,80.3,,ANIMALS & PRODUCTS,00,US TOTAL,,,2009,$ / CWT,ALL UTILIZATION PRACTICES,,,ANNUAL
99,00,NOT SPECIFIED,00000000,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",CATTLE,2014-10-29 15:18:36.000,US,NATIONAL,,ALL PRODUCTION PRACTICES,PRICE RECEIVED,TOTAL,(EXCL CALVES),SURVEY,,,,9000,,,UNITED STATES,LIVESTOCK,US TOTAL,,YEAR,89.1,,ANIMALS & PRODUCTS,00,US TOTAL,,,2008,$ / CWT,ALL UTILIZATION PRACTICES,,,ANNUAL
99,00,NOT SPECIFIED,00000000,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",CATTLE,2012-01-01 00:00:00.000,US,NATIONAL,,ALL PRODUCTION PRACTICES,PRICE RECEIVED,TOTAL,(EXCL CALVES),SURVEY,,,,9000,,,UNITED STATES,LIVESTOCK,US TOTAL,,YEAR,89.9,,ANIMALS & PRODUCTS,00,US TOTAL,,,2007,$ / CWT,ALL UTILIZATION PRACTICES,,,ANNUAL
99,00,NOT SPECIFIED,00000000,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",CATTLE,2012-01-01 00:00:00.000,US,NATIONAL,,ALL PRODUCTION PRACTICES,PRICE RECEIVED,TOTAL,(EXCL CALVES),SURVEY,,,,9000,,,UNITED STATES,LIVESTOCK,US TOTAL,,YEAR,87.2,,ANIMALS & PRODUCTS,00,US TOTAL,,,2006,$ / CWT,ALL UTILIZATION PRACTICES,,,ANNUAL
99,00,NOT SPECIFIED,00000000,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",CATTLE,2012-01-01 00:00:00.000,US,NATIONAL,,ALL PRODUCTION PRACTICES,PRICE RECEIVED,TOTAL,(EXCL CALVES),SURVEY,,,,9000,,,UNITED STATES,LIVESTOCK,US TOTAL,,YEAR,89.7,,ANIMALS & PRODUCTS,00,US TOTAL,,,2005,$ / CWT,ALL UTILIZATION PRACTICES,,,ANNUAL
99,00,NOT SPECIFIED,00000000,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",CATTLE,2012-01-01 00:00:00.000,US,NATIONAL,,ALL PRODUCTION PRACTICES,PRICE RECEIVED,TOTAL,(EXCL CALVES),SURVEY,,,,9000,,,UNITED STATES,LIVESTOCK,US TOTAL,,YEAR,85.8,,ANIMALS & PRODUCTS,00,US TOTAL,,,2004,$ / CWT,ALL UTILIZATION PRACTICES,,,ANNUAL
99,00,NOT SPECIFIED,00000000,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",CATTLE,2012-01-01 00:00:00.000,US,NATIONAL,,ALL PRODUCTION PRACTICES,PRICE RECEIVED,TOTAL,(EXCL CALVES),SURVEY,,,,9000,,,UNITED STATES,LIVESTOCK,US TOTAL,,YEAR,79.7,,ANIMALS & PRODUCTS,00,US TOTAL,,,2003,$ / CWT,ALL UTILIZATION PRACTICES,,,ANNUAL
99,00,NOT SPECIFIED,00000000,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",CATTLE,2012-01-01 00:00:00.000,US,NATIONAL,,ALL PRODUCTION PRACTICES,PRICE RECEIVED,TOTAL,(EXCL CALVES),SURVEY,,,,9000,,,UNITED STATES,LIVESTOCK,US TOTAL,,YEAR,66.5,,ANIMALS & PRODUCTS,00,US TOTAL,,,2002,$ / CWT,ALL UTILIZATION PRACTICES,,,ANNUAL
99,00,NOT SPECIFIED,00000000,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",CATTLE,2012-01-01 00:00:00.000,US,NATIONAL,,ALL PRODUCTION PRACTICES,PRICE RECEIVED,TOTAL,(EXCL CALVES),SURVEY,,,,9000,,,UNITED STATES,LIVESTOCK,US TOTAL,,YEAR,71.3,,ANIMALS & PRODUCTS,00,US TOTAL,,,2001,$ / CWT,ALL UTILIZATION PRACTICES,,,ANNUAL
