year,reference_period_desc,begin_code,freq_desc,unit_desc,sector_desc,class_desc,commodity_desc,short_desc,statisticcat_desc,num_head
2024,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,44707500
2023,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,44836800
2022,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,47045700
2021,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,46793900
2020,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,45213700
2019,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,44944100
2018,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,45150300
2017,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,43644200
2016,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,41756100
2015,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,40486500
2014,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,41243000
2013,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,43452800
2012,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,43577800
2011,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,44874600
2010,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,44658400
2009,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,43368800
2008,YEAR,00,ANNUAL,HEAD,ANIMALS & PRODUCTS,(EXCL CALVES),CATTLE,"CATTLE, (EXCL CALVES), (EXCL INTER-FARM IN-STATE) - SALES, MEASURED IN HEAD",SALES,44237700
