year,reference_period_desc,short_desc,corn_planted_acres
2026,YEAR,CORN - ACRES PLANTED,95.338
2025,YEAR,CORN - ACRES PLANTED,98.788
2024,YEAR,CORN - ACRES PLANTED,90.909
2023,YEAR,CORN - ACRES PLANTED,94.641
2022,YEAR,CORN - ACRES PLANTED,88.162
2021,YEAR,CORN - ACRES PLANTED,92.901
2020,YEAR,CORN - ACRES PLANTED,90.432
2019,YEAR,CORN - ACRES PLANTED,89.37
2018,YEAR,CORN - ACRES PLANTED,88.821
2017,YEAR,CORN - ACRES PLANTED,90.167
2016,YEAR,CORN - ACRES PLANTED,94.004
2015,YEAR,CORN - ACRES PLANTED,88.019
2014,YEAR,CORN - ACRES PLANTED,90.597
2013,YEAR,CORN - ACRES PLANTED,95.365
2012,YEAR,CORN - ACRES PLANTED,97.291
2011,YEAR,CORN - ACRES PLANTED,91.936
2010,YEAR,CORN - ACRES PLANTED,88.192
2009,YEAR,CORN - ACRES PLANTED,86.382
2008,YEAR,CORN - ACRES PLANTED,85.982
2007,YEAR,CORN - ACRES PLANTED,93.527
2006,YEAR,CORN - ACRES PLANTED,78.327
2005,YEAR,CORN - ACRES PLANTED,81.779
2004,YEAR,CORN - ACRES PLANTED,80.929
2003,YEAR,CORN - ACRES PLANTED,78.603
2002,YEAR,CORN - ACRES PLANTED,78.894
2001,YEAR,CORN - ACRES PLANTED,75.702
2000,YEAR,CORN - ACRES PLANTED,79.551
1999,YEAR,CORN - ACRES PLANTED,77.386
1998,YEAR,CORN - ACRES PLANTED,80.165
1997,YEAR,CORN - ACRES PLANTED,79.537
1996,YEAR,CORN - ACRES PLANTED,79.229
1995,YEAR,CORN - ACRES PLANTED,71.479
1994,YEAR,CORN - ACRES PLANTED,78.921
1993,YEAR,CORN - ACRES PLANTED,73.239
1992,YEAR,CORN - ACRES PLANTED,79.311
1991,YEAR,CORN - ACRES PLANTED,75.957
1990,YEAR,CORN - ACRES PLANTED,74.166
1989,YEAR,CORN - ACRES PLANTED,72.322
1988,YEAR,CORN - ACRES PLANTED,67.717
1987,YEAR,CORN - ACRES PLANTED,66.2
1986,YEAR,CORN - ACRES PLANTED,76.58
1985,YEAR,CORN - ACRES PLANTED,83.398
1984,YEAR,CORN - ACRES PLANTED,80.517
1983,YEAR,CORN - ACRES PLANTED,60.207
1982,YEAR,CORN - ACRES PLANTED,81.857
1981,YEAR,CORN - ACRES PLANTED,84.097
1980,YEAR,CORN - ACRES PLANTED,84.043
1979,YEAR,CORN - ACRES PLANTED,81.394
1978,YEAR,CORN - ACRES PLANTED,81.675
1977,YEAR,CORN - ACRES PLANTED,84.328
1976,YEAR,CORN - ACRES PLANTED,84.588
1975,YEAR,CORN - ACRES PLANTED,78.719
1974,YEAR,CORN - ACRES PLANTED,77.935
1973,YEAR,CORN - ACRES PLANTED,72.253
1972,YEAR,CORN - ACRES PLANTED,67.126
1971,YEAR,CORN - ACRES PLANTED,74.179
1970,YEAR,CORN - ACRES PLANTED,66.863
1969,YEAR,CORN - ACRES PLANTED,64.264
1968,YEAR,CORN - ACRES PLANTED,65.126
1967,YEAR,CORN - ACRES PLANTED,71.156
1966,YEAR,CORN - ACRES PLANTED,66.347
1965,YEAR,CORN - ACRES PLANTED,65.171
1964,YEAR,CORN - ACRES PLANTED,65.823
1963,YEAR,CORN - ACRES PLANTED,68.771
1962,YEAR,CORN - ACRES PLANTED,65.017
1961,YEAR,CORN - ACRES PLANTED,65.919
1960,YEAR,CORN - ACRES PLANTED,81.425
1959,YEAR,CORN - ACRES PLANTED,82.742
1958,YEAR,CORN - ACRES PLANTED,73.351
1957,YEAR,CORN - ACRES PLANTED,73.18
1956,YEAR,CORN - ACRES PLANTED,77.828
1955,YEAR,CORN - ACRES PLANTED,80.932
1954,YEAR,CORN - ACRES PLANTED,82.185
1953,YEAR,CORN - ACRES PLANTED,81.574
1952,YEAR,CORN - ACRES PLANTED,82.23
1951,YEAR,CORN - ACRES PLANTED,83.275
1950,YEAR,CORN - ACRES PLANTED,82.859
1949,YEAR,CORN - ACRES PLANTED,86.738
1948,YEAR,CORN - ACRES PLANTED,85.522
1947,YEAR,CORN - ACRES PLANTED,85.038
1946,YEAR,CORN - ACRES PLANTED,88.898
1945,YEAR,CORN - ACRES PLANTED,89.261
1944,YEAR,CORN - ACRES PLANTED,95.475
1943,YEAR,CORN - ACRES PLANTED,94.341
1942,YEAR,CORN - ACRES PLANTED,88.818
1941,YEAR,CORN - ACRES PLANTED,86.837
1940,YEAR,CORN - ACRES PLANTED,88.692
1939,YEAR,CORN - ACRES PLANTED,91.639
1938,YEAR,CORN - ACRES PLANTED,94.473
1937,YEAR,CORN - ACRES PLANTED,97.174
1936,YEAR,CORN - ACRES PLANTED,101.959
1935,YEAR,CORN - ACRES PLANTED,99.974
1934,YEAR,CORN - ACRES PLANTED,100.563
1933,YEAR,CORN - ACRES PLANTED,109.83
1932,YEAR,CORN - ACRES PLANTED,113.024
1931,YEAR,CORN - ACRES PLANTED,109.364
1930,YEAR,CORN - ACRES PLANTED,103.915
1929,YEAR,CORN - ACRES PLANTED,99.13
1928,YEAR,CORN - ACRES PLANTED,100.399
1927,YEAR,CORN - ACRES PLANTED,98.46
1926,YEAR,CORN - ACRES PLANTED,99.66
