year,freq_desc,unit_desc,short_desc,statisticcat_desc,nominal_price,annual_avg_cpi,real_price
2024,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,4.24,313.689,4.24
2023,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,4.55,304.702,4.684199480147817
2022,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,6.54,292.655,7.010049580564147
2021,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,6.0,270.97,6.9459128316787835
2020,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,4.53,258.811,5.490536221412537
2019,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,3.56,255.657,4.3680902146235
2018,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,3.61,251.107,4.5097002074812735
2017,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,3.36,245.12,4.299914490861619
2016,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,3.36,240.007,4.39151791406084
2015,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,3.61,237.017,4.777789314690508
2014,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,3.7,236.736,4.902715683292783
2013,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,4.46,232.957,6.005627390462618
2012,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,6.89,229.594,9.413648483845398
2011,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,6.22,224.939,8.674109780873925
2010,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,5.18,218.056,7.451796877866236
2009,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,3.55,214.537,5.190694145998126
2008,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,4.06,215.303,5.915279118265886
2007,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,4.2,207.342,6.354206094279018
2006,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,3.04,201.6,4.7302309523809525
2005,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.0,195.3,3.212380952380953
2004,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.06,188.9,3.4208541026998414
2003,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.42,184.0,4.1256922826086955
2002,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.32,179.9,4.045350083379655
2001,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,1.97,177.1,3.489369452286844
2000,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,1.85,172.2,3.370061846689896
1999,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,1.82,166.6,3.42685462184874
1998,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,1.94,163.0,3.7334764417177912
1997,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.43,160.5,4.749310093457945
1996,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.71,156.9,5.418082791586999
1995,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,3.24,152.4,6.66897874015748
1994,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.26,148.2,4.783651417004049
1993,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.5,144.5,5.427145328719724
1992,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.07,140.3,4.628198360655737
1991,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.37,136.2,5.458464977973569
1990,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.28,130.7,5.472157000765112
1989,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.36,124.0,5.97021
1988,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,2.54,118.3,6.7351653423499585
1987,ANNUAL,$ / BU,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",PRICE RECEIVED,1.94,113.6,5.3570128521126765
