source_desc,sector_desc,group_desc,commodity_desc,statisticcat_desc,short_desc,domain_desc,class_desc,state_name,year,month,month_id,freq_desc,unit_desc,nominal_price
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2025,JAN,1,MONTHLY,$ / BU,4.29
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2025,FEB,2,MONTHLY,$ / BU,4.58
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2025,MAR,3,MONTHLY,$ / BU,4.57
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2025,APR,4,MONTHLY,$ / BU,4.62
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2025,MAY,5,MONTHLY,$ / BU,4.64
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2025,JUN,6,MONTHLY,$ / BU,4.47
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2025,JUL,7,MONTHLY,$ / BU,4.29
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2025,AUG,8,MONTHLY,$ / BU,3.96
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,MARKETING YEAR,0,ANNUAL,$ / BU,4.24
SURVEY,CROPS,FIELD CROPS,CORN,PRICE RECEIVED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",TOTAL,ALL CLASSES,US TOTAL,2024,JAN,1,MONTHLY,$ / BU,4.74
