year,short_desc,corn_prod_bu
2025,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",17.020549
2024,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",14.891756
2023,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",15.34052
2022,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",13.650531
2021,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",15.017788
2020,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",14.086699
2019,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",13.568306
2018,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",14.321674
2017,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",14.609407
2016,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",15.148038
2015,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",13.601964
2014,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",14.217292
2013,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",13.830704
2012,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",10.755111
2011,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",12.313956
2010,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",12.42533
2009,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",13.067156
2008,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",12.043203
2007,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",13.037875
2006,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",10.531123
2005,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",11.112187
2004,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",11.805581
2003,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",10.087292
2002,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",8.966787
2001,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",9.50258
2000,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",9.915051
1999,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",9.430612
1998,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",9.758685
1997,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",9.206832
1996,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",9.232557
1995,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",7.400051
1994,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",10.05052
1993,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",6.33773
1992,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",9.476698
1991,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",7.474765
1990,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",7.934028
1989,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",7.531953
1988,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",4.928681
1987,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",7.1313
1986,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",8.225764
1985,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",8.875453
1984,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",7.67213
1983,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",4.174251
1982,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",8.235101
1981,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",8.11865
1980,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",6.639396
1979,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",7.928139
1978,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",7.267927
1977,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",6.505041
1976,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",6.289169
1975,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",5.840757
1974,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",4.701402
1973,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",5.670712
1972,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",5.579832
1971,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",5.64626
1970,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",4.152243
1969,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",4.687057
1968,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",4.449542
1967,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",4.860372
1966,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",4.167608
1965,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",4.102867
