Table_num,Table_name,Category_num,Category_desc,Year,Units,Value_added,Imports,Total
1,Food dollar,1,Total,1993,Cents per Domestic Real Food Dollar,,4.7,100
1,Food dollar,2,Agribusiness,1993,Cents per Domestic Real Food Dollar,,0.3,3.4
1,Food dollar,3,Farm production,1993,Cents per Domestic Real Food Dollar,,0.6,7.7
1,Food dollar,4,Food processing,1993,Cents per Domestic Real Food Dollar,,0.7,18.7
1,Food dollar,5,Packaging,1993,Cents per Domestic Real Food Dollar,,0.7,4.2
1,Food dollar,6,Transportation,1993,Cents per Domestic Real Food Dollar,,0.2,4.3
1,Food dollar,7,Wholesale trade,1993,Cents per Domestic Real Food Dollar,,-0.1,8.4
1,Food dollar,8,Retail trade,1993,Cents per Domestic Real Food Dollar,,0.2,11.1
1,Food dollar,9,Foodservices,1993,Cents per Domestic Real Food Dollar,,0.6,28.9
1,Food dollar,10,Energy,1993,Cents per Domestic Real Food Dollar,,1.3,5
1,Food dollar,11,Finance and insurance,1993,Cents per Domestic Real Food Dollar,,0,3.2
1,Food dollar,12,Advertising,1993,Cents per Domestic Real Food Dollar,,0.1,3
1,Food dollar,13,Legal and accounting,1993,Cents per Domestic Real Food Dollar,,0,1.7
1,Food dollar,14,Total food dollar,1993,Cents per Domestic Real Food Dollar,,,107
1,Food dollar,15,Domestic food dollar,1993,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,1993,Cents per Domestic Real Food Dollar,,,16.3
1,Food dollar,1,Total,1994,Cents per Domestic Real Food Dollar,,4.9,100
1,Food dollar,2,Agribusiness,1994,Cents per Domestic Real Food Dollar,,0.3,3.3
1,Food dollar,3,Farm production,1994,Cents per Domestic Real Food Dollar,,0.6,7.6
1,Food dollar,4,Food processing,1994,Cents per Domestic Real Food Dollar,,0.7,18.5
1,Food dollar,5,Packaging,1994,Cents per Domestic Real Food Dollar,,0.8,4.1
1,Food dollar,6,Transportation,1994,Cents per Domestic Real Food Dollar,,0.2,4.2
1,Food dollar,7,Wholesale trade,1994,Cents per Domestic Real Food Dollar,,-0.1,8
1,Food dollar,8,Retail trade,1994,Cents per Domestic Real Food Dollar,,0.1,10.9
1,Food dollar,9,Foodservices,1994,Cents per Domestic Real Food Dollar,,0.6,29.6
1,Food dollar,10,Energy,1994,Cents per Domestic Real Food Dollar,,1.5,5.5
1,Food dollar,11,Finance and insurance,1994,Cents per Domestic Real Food Dollar,,0.1,3.4
1,Food dollar,12,Advertising,1994,Cents per Domestic Real Food Dollar,,0.1,3
1,Food dollar,13,Legal and accounting,1994,Cents per Domestic Real Food Dollar,,0,1.7
1,Food dollar,14,Total food dollar,1994,Cents per Domestic Real Food Dollar,,,107.1
1,Food dollar,15,Domestic food dollar,1994,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,1994,Cents per Domestic Real Food Dollar,,,16.1
1,Food dollar,1,Total,1995,Cents per Domestic Real Food Dollar,,5.3,100
1,Food dollar,2,Agribusiness,1995,Cents per Domestic Real Food Dollar,,0.3,3.3
1,Food dollar,3,Farm production,1995,Cents per Domestic Real Food Dollar,,0.7,7.8
1,Food dollar,4,Food processing,1995,Cents per Domestic Real Food Dollar,,0.7,17.9
1,Food dollar,5,Packaging,1995,Cents per Domestic Real Food Dollar,,0.7,3.8
1,Food dollar,6,Transportation,1995,Cents per Domestic Real Food Dollar,,0.2,4.1
1,Food dollar,7,Wholesale trade,1995,Cents per Domestic Real Food Dollar,,-0.1,7.9
1,Food dollar,8,Retail trade,1995,Cents per Domestic Real Food Dollar,,0.1,10.9
1,Food dollar,9,Foodservices,1995,Cents per Domestic Real Food Dollar,,0.7,30
1,Food dollar,10,Energy,1995,Cents per Domestic Real Food Dollar,,1.8,6
1,Food dollar,11,Finance and insurance,1995,Cents per Domestic Real Food Dollar,,0.1,3.5
1,Food dollar,12,Advertising,1995,Cents per Domestic Real Food Dollar,,0.1,3
1,Food dollar,13,Legal and accounting,1995,Cents per Domestic Real Food Dollar,,0,1.7
1,Food dollar,14,Total food dollar,1995,Cents per Domestic Real Food Dollar,,,107.2
1,Food dollar,15,Domestic food dollar,1995,Cents per Domestic Real Food Dollar,,,100
1,Food dollar,16,Farm share,1995,Cents per Domestic Real Food Dollar,,,16.5
