Year,"Food-at-home nominal food expenditure share of disposable personal income, household final users (percentage)","Food-away-from-home nominal food expenditure share of disposable personal income, household final users (percentage)","Total nominal food expenditure share of disposable personal income, household final users (percentage)","Food-at-home share of nominal food expenditures, household final users (percentage)","Food-away-from-home share of nominal food expenditures, household final users (percentage)","Food-at-home expenditures per household, household final users (nominal U.S. dollars)","Food-away-from-home expenditures per household, household final users (nominal U.S. dollars)","Total food expenditures per household, household final users (nominal U.S. dollars)","Food-at-home expenditures per household, household final users (constant U.S. dollars (1988=100))","Food-away-from-home expenditures per household, household final users (constant U.S. dollars (1988=100))","Total food expenditures per household, household final users (constant U.S. dollars (1988=100))","Food-at-home share of nominal food expenditures, all purchasers (percentage)","Food-away-from-home share of nominal food expenditures, all purchasers (percentage)","Food-at-home expenditures per capita, all purchasers (nominal U.S. dollars)","Food-away-from-home expenditures per capita, all purchasers (nominal U.S. dollars)","Total food expenditures per capita, all purchasers (nominal U.S. dollars)","Food-at-home expenditures per capita, all purchasers (constant U.S. dollars (1988=100))","Food-away-from-home expenditures per capita, all purchasers (constant U.S. dollars (1988=100))","Total food expenditures per capita, all purchasers (constant U.S. dollars (1988=100))"
1997, 5.91 , 4.31 , 10.22 , 57.85 , 42.15 ," 3,592.24 "," 2,617.71 "," 6,209.95 "," 2,649.31 "," 2,030.81 "," 4,680.12 ", 51.96 , 48.04 ," 1,330.48 "," 1,230.15 "," 2,560.63 ", 981.24 , 954.35 ," 1,935.59 "
1998, 5.66 , 4.23 , 9.89 , 57.22 , 42.78 ," 3,620.36 "," 2,706.45 "," 6,326.81 "," 2,620.32 "," 2,046.22 "," 4,666.54 ", 51.25 , 48.75 ," 1,345.27 "," 1,279.75 "," 2,625.02 ", 973.67 , 967.56 ," 1,941.23 "
1999, 5.71 , 4.25 , 9.96 , 57.37 , 42.63 ," 3,777.26 "," 2,807.24 "," 6,584.50 "," 2,682.27 "," 2,071.00 "," 4,753.27 ", 51.37 , 48.63 ," 1,405.94 "," 1,330.75 "," 2,736.69 ", 998.37 , 981.74 ," 1,980.11 "
2000, 5.55 , 4.23 , 9.78 , 56.72 , 43.28 ," 3,915.05 "," 2,986.77 "," 6,901.82 "," 2,718.85 "," 2,152.60 "," 4,871.45 ", 50.73 , 49.27 ," 1,452.67 "," 1,410.67 "," 2,863.34 "," 1,008.82 "," 1,016.69 "," 2,025.51 "
2001, 5.53 , 4.20 , 9.73 , 56.84 , 43.16 ," 3,965.52 "," 3,010.79 "," 6,976.31 "," 2,666.55 "," 2,108.77 "," 4,775.32 ", 50.96 , 49.04 ," 1,506.05 "," 1,449.46 "," 2,955.51 "," 1,012.72 "," 1,015.20 "," 2,027.92 "
2002, 5.40 , 4.12 , 9.52 , 56.73 , 43.27 ," 4,003.03 "," 3,052.84 "," 7,055.87 "," 2,658.05 "," 2,085.45 "," 4,743.50 ", 50.33 , 49.67 ," 1,521.20 "," 1,501.18 "," 3,022.38 "," 1,010.09 "," 1,025.48 "," 2,035.57 "
2003, 5.39 , 4.18 , 9.57 , 56.32 , 43.68 ," 4,108.63 "," 3,186.13 "," 7,294.76 "," 2,670.38 "," 2,131.09 "," 4,801.47 ", 50.10 , 49.90 ," 1,574.99 "," 1,568.91 "," 3,143.90 "," 1,023.66 "," 1,049.39 "," 2,073.05 "
2004, 5.40 , 4.26 , 9.66 , 55.91 , 44.09 ," 4,320.84 "," 3,407.73 "," 7,728.57 "," 2,705.75 "," 2,213.66 "," 4,919.41 ", 49.81 , 50.19 ," 1,651.95 "," 1,664.76 "," 3,316.71 "," 1,034.46 "," 1,081.43 "," 2,115.89 "
2005, 5.51 , 4.36 , 9.87 , 55.86 , 44.14 ," 4,540.75 "," 3,587.44 "," 8,128.19 "," 2,789.52 "," 2,259.31 "," 5,048.83 ", 49.88 , 50.12 ," 1,740.38 "," 1,749.02 "," 3,489.40 "," 1,069.17 "," 1,101.50 "," 2,170.67 "
2006, 5.45 , 4.37 , 9.82 , 55.49 , 44.51 ," 4,734.58 "," 3,797.79 "," 8,532.37 "," 2,858.89 "," 2,319.82 "," 5,178.71 ", 49.61 , 50.39 ," 1,813.63 "," 1,841.85 "," 3,655.48 "," 1,095.13 "," 1,125.06 "," 2,220.19 "
